"Date,Product Line,Product,Stock Available,Stock Sold,Ending Inventory,Sell-Through Rate (%)"
"2024-01,Leather Goods,Birkin,175,138,37,78.9"
"2024-02,Leather Goods,Birkin,169,134,35,79.3"
"2024-03,Leather Goods,Birkin,181,148,33,81.8"
"2024-04,Leather Goods,Birkin,186,155,31,83.3"
"2024-05,Leather Goods,Birkin,200,165,35,82.5"
"2024-06,Leather Goods,Birkin,214,183,31,85.5"
"2024-07,Leather Goods,Birkin,167,143,24,85.6"
"2024-08,Leather Goods,Birkin,144,124,20,86.1"
"2024-09,Leather Goods,Birkin,176,145,31,82.4"
"2024-10,Leather Goods,Birkin,197,162,35,82.2"
"2024-11,Leather Goods,Birkin,210,175,35,83.3"
"2024-12,Leather Goods,Birkin,250,215,35,86.0"
"2025-01,Leather Goods,Birkin,176,145,31,82.4"
"2025-02,Leather Goods,Birkin,166,138,28,83.1"
"2025-03,Leather Goods,Birkin,191,154,37,80.6"
"2025-04,Leather Goods,Birkin,190,162,28,85.3"
"2025-05,Leather Goods,Birkin,214,179,35,83.6"
"2025-06,Leather Goods,Birkin,225,193,32,85.8"
"2025-07,Leather Goods,Birkin,173,144,29,83.2"
"2025-08,Leather Goods,Birkin,150,131,19,87.3"
"2025-09,Leather Goods,Birkin,186,156,30,83.9"
"2025-10,Leather Goods,Birkin,195,165,30,84.6"
"2025-11,Leather Goods,Birkin,228,189,39,82.9"
"2025-12,Leather Goods,Birkin,272,233,39,85.7"
"2026-01,Leather Goods,Birkin,184,151,33,82.1"
"2026-02,Leather Goods,Birkin,166,139,27,83.7"
"2026-03,Leather Goods,Birkin,196,161,35,82.1"
"2026-04,Leather Goods,Birkin,205,172,33,83.9"
"2026-05,Leather Goods,Birkin,217,184,33,84.8"
"2026-06,Leather Goods,Birkin,231,196,35,84.8"
"2026-07,Leather Goods,Birkin,177,152,25,85.9"
"2026-08,Leather Goods,Birkin,163,138,25,84.7"
"2026-09,Leather Goods,Birkin,189,161,28,85.2"
"2026-10,Leather Goods,Birkin,204,175,29,85.8"
"2026-11,Leather Goods,Birkin,228,193,35,84.6"
"2026-12,Leather Goods,Birkin,287,243,44,84.7"
"2024-01,Leather Goods,Kelly,131,107,24,81.7"
"2024-02,Leather Goods,Kelly,118,97,21,82.2"
"2024-03,Leather Goods,Kelly,131,111,20,84.7"
"2024-04,Leather Goods,Kelly,138,118,20,85.5"
"2024-05,Leather Goods,Kelly,153,124,29,81.0"
"2024-06,Leather Goods,Kelly,176,147,29,83.5"
"2024-07,Leather Goods,Kelly,126,105,21,83.3"
"2024-08,Leather Goods,Kelly,112,94,18,83.9"
"2024-09,Leather Goods,Kelly,139,114,25,82.0"
"2024-10,Leather Goods,Kelly,138,119,19,86.2"
"2024-11,Leather Goods,Kelly,156,133,23,85.3"
"2024-12,Leather Goods,Kelly,201,168,33,83.6"
"2025-01,Leather Goods,Kelly,137,112,25,81.8"
"2025-02,Leather Goods,Kelly,120,103,17,85.8"
"2025-03,Leather Goods,Kelly,136,116,20,85.3"
"2025-04,Leather Goods,Kelly,148,124,24,83.8"
"2025-05,Leather Goods,Kelly,157,133,24,84.7"
"2025-06,Leather Goods,Kelly,177,150,27,84.7"
"2025-07,Leather Goods,Kelly,133,113,20,85.0"
"2025-08,Leather Goods,Kelly,118,99,19,83.9"
"2025-09,Leather Goods,Kelly,137,117,20,85.4"
"2025-10,Leather Goods,Kelly,147,126,21,85.7"
"2025-11,Leather Goods,Kelly,164,138,26,84.1"
"2025-12,Leather Goods,Kelly,210,178,32,84.8"
"2026-01,Leather Goods,Kelly,136,115,21,84.6"
"2026-02,Leather Goods,Kelly,129,109,20,84.5"
"2026-03,Leather Goods,Kelly,144,122,22,84.7"
"2026-04,Leather Goods,Kelly,146,125,21,85.6"
"2026-05,Leather Goods,Kelly,163,138,25,84.7"
"2026-06,Leather Goods,Kelly,186,155,31,83.3"
"2026-07,Leather Goods,Kelly,140,119,21,85.0"
"2026-08,Leather Goods,Kelly,122,104,18,85.2"
"2026-09,Leather Goods,Kelly,146,122,24,83.6"
"2026-10,Leather Goods,Kelly,156,131,25,84.0"
"2026-11,Leather Goods,Kelly,168,143,25,85.1"
"2026-12,Leather Goods,Kelly,222,187,35,84.2"
"2024-01,Leather Goods,Evelyne,383,289,94,75.5"
"2024-02,Leather Goods,Evelyne,365,274,91,75.1"
"2024-03,Leather Goods,Evelyne,418,324,94,77.5"
"2024-04,Leather Goods,Evelyne,495,366,129,73.9"
"2024-05,Leather Goods,Evelyne,553,391,162,70.7"
"2024-06,Leather Goods,Evelyne,589,442,147,75.0"
"2024-07,Leather Goods,Evelyne,461,332,129,72.0"
"2024-08,Leather Goods,Evelyne,382,298,84,78.0"
"2024-09,Leather Goods,Evelyne,447,344,103,77.0"
"2024-10,Leather Goods,Evelyne,493,380,113,77.1"
"2024-11,Leather Goods,Evelyne,566,423,143,74.7"
"2024-12,Leather Goods,Evelyne,715,548,167,76.6"
"2025-01,Leather Goods,Evelyne,405,307,98,75.8"
"2025-02,Leather Goods,Evelyne,394,297,97,75.4"
"2025-03,Leather Goods,Evelyne,438,348,90,79.5"
"2025-04,Leather Goods,Evelyne,506,389,117,76.9"
"2025-05,Leather Goods,Evelyne,541,419,122,77.4"
"2025-06,Leather Goods,Evelyne,621,466,155,75.0"
"2025-07,Leather Goods,Evelyne,452,351,101,77.7"
"2025-08,Leather Goods,Evelyne,426,312,114,73.2"
"2025-09,Leather Goods,Evelyne,486,373,113,76.7"
"2025-10,Leather Goods,Evelyne,545,416,129,76.3"
"2025-11,Leather Goods,Evelyne,568,443,125,78.0"
"2025-12,Leather Goods,Evelyne,773,588,185,76.1"
"2026-01,Leather Goods,Evelyne,444,329,115,74.1"
"2026-02,Leather Goods,Evelyne,422,319,103,75.6"
"2026-03,Leather Goods,Evelyne,495,372,123,75.2"
"2026-04,Leather Goods,Evelyne,549,425,124,77.4"
"2026-05,Leather Goods,Evelyne,597,458,139,76.7"
"2026-06,Leather Goods,Evelyne,648,506,142,78.1"
"2026-07,Leather Goods,Evelyne,483,375,108,77.6"
"2026-08,Leather Goods,Evelyne,444,342,102,77.0"
"2026-09,Leather Goods,Evelyne,520,398,122,76.5"
"2026-10,Leather Goods,Evelyne,573,446,127,77.8"
"2026-11,Leather Goods,Evelyne,613,485,128,79.1"
"2026-12,Leather Goods,Evelyne,812,621,191,76.5"
"2024-01,Leather Goods,Videpoche,181,146,35,80.7"
"2024-02,Leather Goods,Videpoche,210,154,56,73.3"
"2024-03,Leather Goods,Videpoche,243,172,71,70.8"
"2024-04,Leather Goods,Videpoche,240,183,57,76.2"
"2024-05,Leather Goods,Videpoche,279,202,77,72.4"
"2024-06,Leather Goods,Videpoche,274,213,61,77.7"
"2024-07,Leather Goods,Videpoche,223,178,45,79.8"
"2024-08,Leather Goods,Videpoche,214,166,48,77.6"
"2024-09,Leather Goods,Videpoche,261,192,69,73.6"
"2024-10,Leather Goods,Videpoche,272,203,69,74.6"
"2024-11,Leather Goods,Videpoche,290,224,66,77.2"
"2024-12,Leather Goods,Videpoche,361,273,88,75.6"
"2025-01,Leather Goods,Videpoche,196,151,45,77.0"
"2025-02,Leather Goods,Videpoche,207,163,44,78.7"
"2025-03,Leather Goods,Videpoche,250,183,67,73.2"
"2025-04,Leather Goods,Videpoche,257,192,65,74.7"
"2025-05,Leather Goods,Videpoche,275,208,67,75.6"
"2025-06,Leather Goods,Videpoche,306,233,73,76.1"
"2025-07,Leather Goods,Videpoche,249,190,59,76.3"
"2025-08,Leather Goods,Videpoche,224,171,53,76.3"
"2025-09,Leather Goods,Videpoche,267,196,71,73.4"
"2025-10,Leather Goods,Videpoche,284,210,74,73.9"
"2025-11,Leather Goods,Videpoche,316,238,78,75.3"
"2025-12,Leather Goods,Videpoche,373,285,88,76.4"
"2026-01,Leather Goods,Videpoche,221,162,59,73.3"
"2026-02,Leather Goods,Videpoche,231,173,58,74.9"
"2026-03,Leather Goods,Videpoche,258,197,61,76.4"
"2026-04,Leather Goods,Videpoche,263,205,58,77.9"
"2026-05,Leather Goods,Videpoche,293,222,71,75.8"
"2026-06,Leather Goods,Videpoche,312,246,66,78.8"
"2026-07,Leather Goods,Videpoche,269,203,66,75.5"
"2026-08,Leather Goods,Videpoche,251,192,59,76.5"
"2026-09,Leather Goods,Videpoche,284,210,74,73.9"
"2026-10,Leather Goods,Videpoche,298,220,78,73.8"
"2026-11,Leather Goods,Videpoche,333,253,80,76.0"
"2026-12,Leather Goods,Videpoche,396,306,90,77.3"
"2024-01,Leather Goods,Della Cavalleria,151,119,32,78.8"
"2024-02,Leather Goods,Della Cavalleria,149,114,35,76.5"
"2024-03,Leather Goods,Della Cavalleria,160,123,37,76.9"
"2024-04,Leather Goods,Della Cavalleria,185,138,47,74.6"
"2024-05,Leather Goods,Della Cavalleria,207,144,63,69.6"
"2024-06,Leather Goods,Della Cavalleria,215,160,55,74.4"
"2024-07,Leather Goods,Della Cavalleria,178,136,42,76.4"
"2024-08,Leather Goods,Della Cavalleria,153,121,32,79.1"
"2024-09,Leather Goods,Della Cavalleria,183,142,41,77.6"
"2024-10,Leather Goods,Della Cavalleria,185,148,37,80.0"
"2024-11,Leather Goods,Della Cavalleria,218,170,48,78.0"
"2024-12,Leather Goods,Della Cavalleria,257,204,53,79.4"
"2025-01,Leather Goods,Della Cavalleria,160,126,34,78.8"
"2025-02,Leather Goods,Della Cavalleria,156,118,38,75.6"
"2025-03,Leather Goods,Della Cavalleria,178,131,47,73.6"
"2025-04,Leather Goods,Della Cavalleria,198,147,51,74.2"
"2025-05,Leather Goods,Della Cavalleria,202,156,46,77.2"
"2025-06,Leather Goods,Della Cavalleria,221,173,48,78.3"
"2025-07,Leather Goods,Della Cavalleria,184,141,43,76.6"
"2025-08,Leather Goods,Della Cavalleria,168,122,46,72.6"
"2025-09,Leather Goods,Della Cavalleria,199,148,51,74.4"
"2025-10,Leather Goods,Della Cavalleria,209,152,57,72.7"
"2025-11,Leather Goods,Della Cavalleria,231,173,58,74.9"
"2025-12,Leather Goods,Della Cavalleria,282,217,65,77.0"
"2026-01,Leather Goods,Della Cavalleria,168,131,37,78.0"
"2026-02,Leather Goods,Della Cavalleria,165,123,42,74.5"
"2026-03,Leather Goods,Della Cavalleria,185,143,42,77.3"
"2026-04,Leather Goods,Della Cavalleria,207,157,50,75.8"
"2026-05,Leather Goods,Della Cavalleria,223,165,58,74.0"
"2026-06,Leather Goods,Della Cavalleria,238,181,57,76.1"
"2026-07,Leather Goods,Della Cavalleria,198,149,49,75.3"
"2026-08,Leather Goods,Della Cavalleria,177,133,44,75.1"
"2026-09,Leather Goods,Della Cavalleria,207,154,53,74.4"
"2026-10,Leather Goods,Della Cavalleria,219,165,54,75.3"
"2026-11,Leather Goods,Della Cavalleria,248,186,62,75.0"
"2026-12,Leather Goods,Della Cavalleria,295,224,71,75.9"